Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Lens,28,26,47.6,38,418.0,3420,38.0,28.0,21.0,25.0,3.0,3.0,78.0,4.0,0.74,0.55,1.29,0.66,1.21,,,,,,,,,90,100,85.0,,103.0,21.0,159,1.66,28,49,-21,-0.55,1.0,,,,,,,,,4.0,Ligue-2,60,2018-2019
Lens,28,26,45.3,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,114,1.89,24,39,-15,-0.54,,,,,,,,,,,Ligue-2,60,2019-2020
Lens,34,26,42.1,38,418.0,3420,38.0,48.0,29.0,46.0,2.0,4.0,73.0,2.0,1.26,0.76,2.03,1.21,1.97,0.0,0.0,,0.0,0.0,,,,90,100,86.0,,106.0,17.0,153,1.13,49,48,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ligue-2,60,2017-2018
Lorient,24,26,47.8,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,116,1.93,25,45,-20,-0.71,,,,,,,,,,,Ligue-2,60,2019-2020
Lorient,26,26,42.2,38,418.0,3420,38.0,44.0,36.0,41.0,3.0,4.0,75.0,6.0,1.16,0.95,2.11,1.08,2.03,0.0,0.0,,0.0,0.0,,,,90,100,85.0,,106.0,18.0,156,1.63,46,61,-15,-0.39,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ligue-2,60,2017-2018
Lorient,30,26,46.0,38,418.0,3420,38.0,40.0,26.0,38.0,2.0,3.0,86.0,8.0,1.05,0.68,1.74,1.0,1.68,,,,,,,,,90,100,84.0,,106.0,22.0,158,1.66,41,51,-10,-0.26,0.0,,,,,,,,,1.0,Ligue-2,60,2018-2019
Metz,25,26,43.6,38,418.0,3420,38.0,22.0,14.0,19.0,3.0,4.0,61.0,9.0,0.58,0.37,0.95,0.5,0.87,,,,,,,,,90,100,84.0,,104.0,21.0,162,2.13,23,60,-37,-0.97,1.0,,,,,,,,,1.0,Ligue-2,60,2018-2019
Nancy,28,26,49.5,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,114,1.21,26,27,-1,-0.04,,,,,,,,,,,Ligue-2,60,2019-2020
Nancy,28,26,51.7,38,418.0,3420,38.0,46.0,38.0,43.0,3.0,6.0,75.0,6.0,1.21,1.0,2.21,1.13,2.13,428.0,144.0,33.6,11.26,3.79,0.1,0.3,,90,100,82.0,256.0,158.0,21.0,107,1.24,53,53,0,0.0,2.0,584.0,588.0,62.0,778.0,455.0,339.0,,,1.0,Ligue-2,60,2020-2021
Nancy,28,27,46.2,21,231.0,1890,21.0,37.0,27.0,36.0,1.0,2.0,41.0,3.0,1.76,1.29,3.05,1.71,3.0,243.0,101.0,41.6,11.57,4.81,0.15,0.36,,90,100,83.0,144.0,84.0,19.0,63,0.71,38,16,22,1.05,1.0,335.0,307.0,45.0,308.0,253.0,223.0,,,1.0,Ligue-2,60,2021-2022
Nancy,31,26,53.1,38,418.0,3420,38.0,52.0,35.0,48.0,4.0,4.0,81.0,4.0,1.37,0.92,2.29,1.26,2.18,0.0,0.0,,0.0,0.0,,,,90,100,84.0,,110.0,22.0,153,1.0,54,39,15,0.39,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ligue-2,60,2017-2018
Nancy,36,26,51.6,38,418.0,3420,38.0,50.0,31.0,47.0,3.0,4.0,78.0,4.0,1.32,0.82,2.13,1.24,2.05,,,,,,,,,90,100,85.0,,110.0,19.0,152,1.11,50,36,14,0.37,0.0,,,,,,,,,0.0,Ligue-2,60,2018-2019
Niort,23,26,54.0,19,209.0,1710,19.0,20.0,15.0,19.0,1.0,2.0,40.0,1.0,1.05,0.79,1.84,1.0,1.79,216.0,72.0,33.3,11.37,3.79,0.09,0.26,,90,100,83.0,142.0,66.0,21.0,67,1.47,21,23,-2,-0.11,0.0,274.0,225.0,31.0,428.0,176.0,211.0,,,2.0,Ligue-2,60,2021-2022
