Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Nancy,28,24,53.8,21,231,1890,21.0,15,9,12,3,3,37.0,8.0,0.71,0.43,1.14,0.57,1.0,258.0,75.0,29.1,12.29,3.57,0.05,0.16,,90,100,82.0,144.0,80,20,66,0.71,16,38,-22,-1.05,4,322.0,316.0,39.0,400.0,215.0,257.0,,,1,Ligue-2,60,2021-2022
Nancy,31,26,46.9,38,418,3420,38.0,39,23,36,3,3,,,1.03,0.61,1.63,0.95,1.55,0.0,131.0,,0.0,3.45,,0.27,,90,100,,,112,0,154,1.0,39,54,-15,-0.39,1,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Ligue-2,60,2017-2018
Nancy,36,26,48.4,38,418,3420,38.0,36,22,33,3,4,66.0,6.0,0.95,0.58,1.53,0.87,1.45,,,,,,,,,90,100,83.0,,109,22,150,1.11,36,50,-14,-0.37,2,,,,,,,,,0,Ligue-2,60,2018-2019
Niort,23,24,46.0,19,209,1710,19.0,21,17,19,2,3,32.0,1.0,1.11,0.89,2.0,1.0,1.89,181.0,68.0,37.6,9.53,3.58,0.1,0.28,,90,100,84.0,136.0,72,17,59,1.47,23,21,2,0.11,1,239.0,264.0,32.0,250.0,215.0,206.0,,,1,Ligue-2,60,2021-2022
Niort,26,24,48.9,38,418,3420,38.0,34,18,27,7,9,79.0,4.0,0.89,0.47,1.37,0.71,1.18,,,,,,,,,90,100,84.0,,107,23,155,1.24,34,41,-7,-0.18,3,,,,,,,,,2,Ligue-2,60,2018-2019
Niort,26,24,47.0,28,308,2520,28.0,29,22,26,3,4,55.0,6.0,1.04,0.79,1.82,0.93,1.71,273.0,93.0,34.1,9.75,3.32,0.1,0.28,,90,100,85.0,,74,17,120,0.93,30,41,-11,-0.39,3,427.0,344.0,67.0,391.0,363.0,288.0,,,2,Ligue-2,60,2019-2020
Niort,30,27,46.4,38,418,3420,38.0,46,28,42,4,4,,,1.21,0.74,1.95,1.11,1.84,0.0,158.0,,0.0,4.16,,0.27,,90,100,,,103,0,163,1.11,47,60,-13,-0.34,3,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Ligue-2,60,2017-2018
Niort,30,23,45.4,40,407,3330,37.0,33,22,30,3,7,74.0,10.0,0.89,0.59,1.49,0.81,1.41,395.0,116.0,29.4,10.68,3.14,0.08,0.26,,83,100,83.0,272.0,131,20,127,1.08,34,55,-21,-0.57,4,584.0,556.0,64.0,556.0,434.0,396.0,,,1,Ligue-2,60,2020-2021
Nîmes,22,25,51.7,20,220,1800,20.0,24,16,22,2,2,47.0,1.0,1.2,0.8,2.0,1.1,1.9,179.0,67.0,37.4,8.95,3.35,0.12,0.33,,90,100,84.0,141.0,78,16,61,1.3,24,25,-1,-0.05,1,275.0,256.0,34.0,327.0,207.0,208.0,,,0,Ligue-2,60,2021-2022
Nîmes,25,24,52.9,38,418,3420,38.0,73,44,68,5,5,,,1.92,1.16,3.08,1.79,2.95,0.0,218.0,,0.0,5.74,,0.31,,90,100,,,106,0,158,1.92,75,37,38,1.0,1,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Ligue-2,60,2017-2018
