Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
11.0,Sun,2017-11-05,16:15,Celta Vigo,0.7,3–1,1.6,Athletic Club,19779.0,Estadio de BalaÃ­dos,JesÃºs Gil,Match Report,,La-Liga,12,2017-2018
11.0,Sun,2017-11-05,18:30,Real Sociedad,2.3,3–1,0.5,Eibar,20387.0,Estadio Municipal de Anoeta,Daniel Trujillo,Match Report,,La-Liga,12,2017-2018
11.0,Sun,2017-11-05,18:30,Villarreal,0.9,2–0,0.8,Málaga,17755.0,Estadio de la CerÃ¡mica,Javier Estrada,Match Report,,La-Liga,12,2017-2018
11.0,Sun,2017-11-05,20:45,Real Madrid,2.0,3–0,0.1,Las Palmas,67120.0,Estadio Santiago BernabÃ©u,JosÃ© SÃ¡nchez,Match Report,,La-Liga,12,2017-2018
12.0,Fri,2017-11-17,21:00,Girona,1.2,1–1,1.3,Real Sociedad,10136.0,Estadi Municipal de Montilivi,Ignacio Iglesias,Match Report,,La-Liga,12,2017-2018
12.0,Sat,2017-11-18,13:00,Getafe,2.5,4–1,0.6,Alavés,10014.0,Coliseum Alfonso PÃ©rez,Santiago Jaime,Match Report,,La-Liga,12,2017-2018
12.0,Sat,2017-11-18,16:15,Leganés,1.1,0–3,1.9,Barcelona,11454.0,Estadio Municipal de Butarque,Alberto Undiano,Match Report,,La-Liga,12,2017-2018
12.0,Sat,2017-11-18,18:30,Sevilla,1.3,2–1,1.7,Celta Vigo,35030.0,Estadio RamÃ³n SÃ¡nchez PizjuÃ¡n,Carlos del Cerro,Match Report,,La-Liga,12,2017-2018
12.0,Sat,2017-11-18,20:45,Atlético Madrid,1.1,0–0,1.2,Real Madrid,66496.0,Estadio Wanda Metropolitano,David FernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
12.0,Sun,2017-11-19,12:00,Málaga,1.8,3–2,1.6,La Coruña,24563.0,Estadio La Rosaleda,Juan MartÃ­nez,Match Report,,La-Liga,12,2017-2018
12.0,Sun,2017-11-19,16:15,Espanyol,1.8,0–2,0.8,Valencia,25529.0,RCDE Stadium,Alejandro HernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
12.0,Sun,2017-11-19,17:30,Las Palmas,0.5,0–2,0.6,Levante,26212.0,Estadio de Gran Canaria,Mario Melero,Match Report,,La-Liga,12,2017-2018
12.0,Sun,2017-11-19,20:45,Athletic Club,1.7,1–1,1.7,Villarreal,36666.0,San MamÃ©s,David MediÃ©,Match Report,,La-Liga,12,2017-2018
12.0,Mon,2017-11-20,21:00,Eibar,1.8,5–0,0.9,Betis,4638.0,Estadio Municipal de IpurÃºa,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
13.0,Fri,2017-11-24,21:00,Celta Vigo,1.7,1–0,0.8,Leganés,10611.0,Estadio de BalaÃ­dos,Alejandro HernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
13.0,Sat,2017-11-25,13:00,Alavés,0.5,1–2,0.7,Eibar,19272.0,Estadio de Mendizorroza,JosÃ© Munuera,Match Report,,La-Liga,12,2017-2018
13.0,Sat,2017-11-25,16:15,Real Madrid,2.7,3–2,0.4,Málaga,75671.0,Estadio Santiago BernabÃ©u,JesÃºs Gil,Match Report,,La-Liga,12,2017-2018
13.0,Sat,2017-11-25,18:30,Betis,1.1,2–2,1.5,Girona,45681.0,Estadio Benito VillamarÃ­n,Carlos del Cerro,Match Report,,La-Liga,12,2017-2018
13.0,Sat,2017-11-25,20:45,Levante,1.6,0–5,3.0,Atlético Madrid,21549.0,Estadio Ciudad de Valencia,Daniel Trujillo,Match Report,,La-Liga,12,2017-2018
13.0,Sun,2017-11-26,12:00,La Coruña,1.8,2–2,1.1,Athletic Club,20879.0,Estadio Municipal de Riazor,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
13.0,Sun,2017-11-26,16:15,Real Sociedad,2.3,2–2,1.6,Las Palmas,19780.0,Estadio Municipal de Anoeta,Pablo GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
13.0,Sun,2017-11-26,18:30,Villarreal,2.6,2–3,1.8,Sevilla,18698.0,Estadio de la CerÃ¡mica,Alberola Rojas,Match Report,,La-Liga,12,2017-2018
13.0,Sun,2017-11-26,20:45,Valencia,1.1,1–1,0.8,Barcelona,47775.0,Estadio de Mestalla,Ignacio Iglesias,Match Report,,La-Liga,12,2017-2018
13.0,Mon,2017-11-27,21:00,Espanyol,0.7,1–0,0.9,Getafe,11756.0,RCDE Stadium,Juan MartÃ­nez,Match Report,,La-Liga,12,2017-2018
14.0,Fri,2017-12-01,21:00,Málaga,1.1,0–0,0.4,Levante,17886.0,Estadio La Rosaleda,Ricardo de Burgos,Match Report,,La-Liga,12,2017-2018
14.0,Sat,2017-12-02,13:00,Barcelona,3.0,2–2,1.4,Celta Vigo,63208.0,Camp Nou,Mario Melero,Match Report,,La-Liga,12,2017-2018
14.0,Sat,2017-12-02,16:15,Atlético Madrid,2.7,2–1,1.7,Real Sociedad,57394.0,Estadio Wanda Metropolitano,Santiago Jaime,Match Report,,La-Liga,12,2017-2018
14.0,Sat,2017-12-02,18:30,Sevilla,1.4,2–0,1.1,La Coruña,32017.0,Estadio RamÃ³n SÃ¡nchez PizjuÃ¡n,JosÃ© SÃ¡nchez,Match Report,,La-Liga,12,2017-2018
14.0,Sat,2017-12-02,20:45,Athletic Club,1.0,0–0,1.1,Real Madrid,44884.0,San MamÃ©s,Antonio MatÃ©u Lahoz,Match Report,,La-Liga,12,2017-2018
14.0,Sun,2017-12-03,12:00,Leganés,2.0,3–1,1.1,Villarreal,10017.0,Estadio Municipal de Butarque,David FernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
14.0,Sun,2017-12-03,16:15,Getafe,0.8,1–0,0.8,Valencia,12480.0,Coliseum Alfonso PÃ©rez,David MediÃ©,Match Report,,La-Liga,12,2017-2018
14.0,Sun,2017-12-03,18:30,Eibar,1.9,3–1,0.4,Espanyol,4693.0,Estadio Municipal de IpurÃºa,Alberto Undiano,Match Report,,La-Liga,12,2017-2018
14.0,Sun,2017-12-03,19:45,Las Palmas,2.4,1–0,0.3,Betis,16313.0,Estadio de Gran Canaria,Javier Estrada,Match Report,,La-Liga,12,2017-2018
14.0,Mon,2017-12-04,21:00,Girona,0.5,2–3,1.4,Alavés,7316.0,Estadi Municipal de Montilivi,Alberola Rojas,Match Report,,La-Liga,12,2017-2018
15.0,Fri,2017-12-08,21:00,Alavés,2.9,2–0,0.2,Las Palmas,18567.0,Estadio de Mendizorroza,David MediÃ©,Match Report,,La-Liga,12,2017-2018
15.0,Sat,2017-12-09,13:00,Getafe,0.6,0–0,0.9,Eibar,9317.0,Coliseum Alfonso PÃ©rez,Alberola Rojas,Match Report,,La-Liga,12,2017-2018
15.0,Sat,2017-12-09,16:15,Real Madrid,3.5,5–0,0.5,Sevilla,76924.0,Estadio Santiago BernabÃ©u,Juan MartÃ­nez,Match Report,,La-Liga,12,2017-2018
15.0,Sat,2017-12-09,18:30,La Coruña,1.4,1–0,0.1,Leganés,18366.0,Estadio Municipal de Riazor,Mario Melero,Match Report,,La-Liga,12,2017-2018
15.0,Sat,2017-12-09,20:45,Valencia,1.6,2–1,0.9,Celta Vigo,35633.0,Estadio de Mestalla,JosÃ© Munuera,Match Report,,La-Liga,12,2017-2018
