Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
29.0,Sat,2021-04-03,16:15,Real Madrid,2.4,2–0,0.4,Eibar,,Estadio Alfredo Di Stfano,Isidro Daz de Mera,La-Liga,12,2020-2021
29.0,Sat,2021-04-03,18:30,Osasuna,0.4,0–0,0.5,Getafe,,Estadio El Sadar,Pablo Gonzlez,La-Liga,12,2020-2021
29.0,Sun,2021-04-04,14:00,Alavs,1.8,1–3,2.1,Celta Vigo,,Estadio de Mendizorroza,Antonio Matu Lahoz,La-Liga,12,2020-2021
29.0,Sun,2021-04-04,16:15,Elche,0.8,1–1,1.8,Betis,,Estadio Manuel Martnez Valero,Adrin Cordero,La-Liga,12,2020-2021
29.0,Sun,2021-04-04,18:30,Cdiz,0.4,2–1,1.0,Valencia,,Estadio Nuevo Mirandilla,David Medi,La-Liga,12,2020-2021
29.0,Sun,2021-04-04,21:00,Sevilla,1.7,1–0,0.9,Atltico Madrid,,Estadio Ramn Snchez Pizjun,Jess Gil,La-Liga,12,2020-2021
29.0,Mon,2021-04-05,21:00,Barcelona,1.9,1–0,0.3,Valladolid,,Camp Nou,Santiago Jaime,La-Liga,12,2020-2021
29.0,Wed,2021-04-07,21:00,Real Sociedad,1.0,1–1,0.8,Athletic Club,,Estadio Municipal de Anoeta,Jos Snchez,La-Liga,12,2020-2021
30.0,Fri,2021-04-09,21:00,Huesca,1.2,3–1,0.6,Elche,,Estadio El Alcoraz,Alberola Rojas,La-Liga,12,2020-2021
30.0,Sat,2021-04-10,14:00,Getafe,2.5,0–1,0.5,Cdiz,,Coliseum Alfonso Prez,Ricardo de Burgos,La-Liga,12,2020-2021
30.0,Sat,2021-04-10,16:15,Athletic Club,1.9,0–0,0.5,Alavs,,San Mams,Mario Melero,La-Liga,12,2020-2021
30.0,Sat,2021-04-10,18:30,Eibar,0.4,0–1,0.4,Levante,,Estadio Municipal de Ipura,Javier Estrada,La-Liga,12,2020-2021
30.0,Sat,2021-04-10,21:00,Real Madrid,1.6,2–1,1.6,Barcelona,,Estadio Alfredo Di Stfano,Jess Gil,La-Liga,12,2020-2021
30.0,Sun,2021-04-11,14:00,Villarreal,1.9,1–2,1.2,Osasuna,,Estadio de la Cermica,Jos Luis Munuera,La-Liga,12,2020-2021
30.0,Sun,2021-04-11,16:15,Valencia,2.1,2–2,1.1,Real Sociedad,,Estadio de Mestalla,Valentn Pizarro,La-Liga,12,2020-2021
30.0,Sun,2021-04-11,18:30,Valladolid,1.1,1–2,1.1,Granada,,Estadio Municipal Jos Zorrilla,Carlos del Cerro,La-Liga,12,2020-2021
30.0,Sun,2021-04-11,21:00,Betis,0.7,1–1,1.4,Atltico Madrid,,Estadio Benito Villamarn,Guillermo Cuadra,La-Liga,12,2020-2021
30.0,Mon,2021-04-12,21:00,Celta Vigo,2.1,3–4,1.4,Sevilla,,Estadio de Balados,Alejandro Hernndez,La-Liga,12,2020-2021
33.0,Sun,2021-04-18,14:00,Real Sociedad,0.3,1–2,3.1,Sevilla,,Estadio Municipal de Anoeta,Santiago Jaime,La-Liga,12,2020-2021
33.0,Sun,2021-04-18,14:00,Osasuna,0.8,2–0,0.7,Elche,,Estadio El Sadar,Jorge Figueroa,La-Liga,12,2020-2021
33.0,Sun,2021-04-18,16:15,Alavs,0.5,1–0,0.5,Huesca,,Estadio de Mendizorroza,Alejandro Hernndez,La-Liga,12,2020-2021
33.0,Sun,2021-04-18,16:15,Atltico Madrid,2.3,5–0,0.0,Eibar,,Estadio Wanda Metropolitano,Csar Soto,La-Liga,12,2020-2021
33.0,Sun,2021-04-18,18:30,Cdiz,0.5,0–0,0.5,Celta Vigo,,Estadio Nuevo Mirandilla,Pablo Gonzlez,La-Liga,12,2020-2021
33.0,Sun,2021-04-18,18:30,Betis,0.7,2–2,1.5,Valencia,,Estadio Benito Villamarn,Alberola Rojas,La-Liga,12,2020-2021
33.0,Sun,2021-04-18,21:00,Levante,1.4,1–5,2.1,Villarreal,,Estadio Ciudad de Valencia,Ricardo de Burgos,La-Liga,12,2020-2021
33.0,Sun,2021-04-18,21:00,Getafe,1.5,0–0,0.6,Real Madrid,,Coliseum Alfonso Prez,Jos Snchez,La-Liga,12,2020-2021
31.0,Wed,2021-04-21,19:00,Osasuna,3.6,3–1,0.9,Valencia,,Estadio El Sadar,Mario Melero,La-Liga,12,2020-2021
31.0,Wed,2021-04-21,19:00,Levante,0.3,0–1,1.6,Sevilla,,Estadio Ciudad de Valencia,Valentn Pizarro,La-Liga,12,2020-2021
31.0,Wed,2021-04-21,20:00,Betis,0.2,0–0,1.0,Athletic Club,,Estadio Benito Villamarn,David Medi,La-Liga,12,2020-2021
