Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
19.0,Sat,2019-12-21,20:45,Nantes,0.4,1–2,1.1,Angers,29807.0,Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard,Ligue-1,13,2019-2020
19.0,Sat,2019-12-21,20:45,Monaco,2.2,5–1,0.5,Lille,5388.0,Stade Louis II.,Mikael Lesage,Ligue-1,13,2019-2020
20.0,Fri,2020-01-10,20:45,Rennes,0.6,0–1,0.8,Marseille,28896.0,Roazhon Park,Benoît Millot,Ligue-1,13,2019-2020
20.0,Sat,2020-01-11,17:30,Bordeaux,0.8,1–2,2.4,Lyon,28737.0,Stade Matmut-Atlantique,Clément Turpin,Ligue-1,13,2019-2020
20.0,Sat,2020-01-11,20:00,Angers,1.1,1–1,1.1,Nice,9105.0,Stade Raymond Kopa,Willy Delajod,Ligue-1,13,2019-2020
20.0,Sat,2020-01-11,20:00,Toulouse,1.0,2–5,1.4,Brest,13666.0,Stadium Municipal,Hakim Ben El Hadj Salem,Ligue-1,13,2019-2020
20.0,Sat,2020-01-11,20:00,Amiens,0.8,1–2,0.9,Montpellier,10205.0,Stade de la Licorne,Karim Abed,Ligue-1,13,2019-2020
20.0,Sat,2020-01-11,20:00,Metz,1.0,1–0,1.5,Strasbourg,18079.0,Stade Saint-Symphorien,Jérôme Brisard,Ligue-1,13,2019-2020
20.0,Sat,2020-01-11,20:00,Nîmes,1.6,2–0,0.2,Reims,11867.0,Stade des Costières,Olivier Thual,Ligue-1,13,2019-2020
20.0,Sun,2020-01-12,15:00,Saint-Étienne,0.7,0–2,0.7,Nantes,,Stade Geoffroy-Guichard,Benoît Bastien,Ligue-1,13,2019-2020
20.0,Sun,2020-01-12,17:00,Dijon,1.2,1–0,1.0,Lille,12115.0,Stade Gaston Gérard,Franck Schneider,Ligue-1,13,2019-2020
20.0,Sun,2020-01-12,21:00,Paris S-G,2.4,3–3,2.6,Monaco,47580.0,Parc des Princes,Antony Gautier,Ligue-1,13,2019-2020
12.0,Wed,2020-01-15,19:00,Nîmes,0.3,0–1,0.8,Rennes,12388.0,Stade des Costières,Willy Delajod,Ligue-1,13,2019-2020
16.0,Wed,2020-01-15,19:00,Amiens,1.0,1–1,0.3,Reims,10712.0,Stade de la Licorne,Johan Hamel,Ligue-1,13,2019-2020
15.0,Wed,2020-01-15,21:00,Monaco,1.0,1–4,3.2,Paris S-G,11214.0,Stade Louis II.,François Letexier,Ligue-1,13,2019-2020
21.0,Fri,2020-01-24,20:45,Nice,2.6,1–1,2.3,Rennes,15199.0,Stade de Nice,Hakim Ben El Hadj Salem,Ligue-1,13,2019-2020
21.0,Sat,2020-01-25,17:30,Marseille,0.4,0–0,0.2,Angers,55761.0,Orange Vélodrome,Johan Hamel,Ligue-1,13,2019-2020
21.0,Sat,2020-01-25,20:00,Saint-Étienne,2.0,2–1,0.7,Nîmes,23927.0,Stade Geoffroy-Guichard,Jeremy Stinat,Ligue-1,13,2019-2020
21.0,Sat,2020-01-25,20:00,Reims,0.5,0–1,0.9,Metz,11818.0,Stade Auguste-Delaune II,Jérémie Pignard,Ligue-1,13,2019-2020
21.0,Sat,2020-01-25,20:00,Montpellier,2.0,2–1,0.5,Dijon,11129.0,Stade de la Mosson,Jérôme Miguelgorry,Ligue-1,13,2019-2020
21.0,Sat,2020-01-25,20:00,Monaco,0.9,1–3,1.2,Strasbourg,4800.0,Stade Louis II.,Eric Wattellier,Ligue-1,13,2019-2020
21.0,Sat,2020-01-25,20:00,Brest,1.0,2–1,1.1,Amiens,12866.0,Stade Francis-Le Blé,Thomas Léonard,Ligue-1,13,2019-2020
21.0,Sun,2020-01-26,15:00,Lyon,1.2,3–0,0.4,Toulouse,42582.0,Groupama Stadium,Antony Gautier,Ligue-1,13,2019-2020
21.0,Sun,2020-01-26,17:00,Nantes,0.2,0–1,0.9,Bordeaux,29839.0,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,Ligue-1,13,2019-2020
21.0,Sun,2020-01-26,21:00,Lille,0.6,0–2,2.1,Paris S-G,49132.0,Stade Pierre-Mauroy,Amaury Delerue,Ligue-1,13,2019-2020
22.0,Fri,2020-01-31,20:45,Rennes,2.4,3–2,0.8,Nantes,27836.0,Roazhon Park,Benoît Millot,Ligue-1,13,2019-2020
22.0,Sat,2020-02-01,17:30,Paris S-G,2.6,5–0,0.2,Montpellier,47701.0,Parc des Princes,Jérôme Brisard,Ligue-1,13,2019-2020
22.0,Sat,2020-02-01,20:00,Angers,1.1,1–4,1.4,Reims,8467.0,Stade Raymond Kopa,Amaury Delerue,Ligue-1,13,2019-2020
22.0,Sat,2020-02-01,20:00,Nîmes,2.0,3–1,0.7,Monaco,12580.0,Stade des Costières,Mikael Lesage,Ligue-1,13,2019-2020
22.0,Sat,2020-02-01,20:00,Amiens,0.4,0–0,0.4,Toulouse,10992.0,Stade de la Licorne,François Letexier,Ligue-1,13,2019-2020
22.0,Sat,2020-02-01,20:00,Dijon,0.9,3–0,1.4,Brest,11212.0,Stade Gaston Gérard,Olivier Thual,Ligue-1,13,2019-2020
22.0,Sat,2020-02-01,20:00,Strasbourg,1.6,1–2,1.3,Lille,25139.0,Stade de la Meinau,Stéphanie Frappart,Ligue-1,13,2019-2020
22.0,Sun,2020-02-02,15:00,Nice,1.5,2–1,1.2,Lyon,23553.0,Stade de Nice,Benoît Bastien,Ligue-1,13,2019-2020
22.0,Sun,2020-02-02,17:00,Metz,0.8,3–1,1.7,Saint-Étienne,15636.0,Stade Saint-Symphorien,Antony Gautier,Ligue-1,13,2019-2020
22.0,Sun,2020-02-02,21:00,Bordeaux,1.0,0–0,0.5,Marseille,36196.0,Stade Matmut-Atlantique,Ruddy Buquet,Ligue-1,13,2019-2020
23.0,Tue,2020-02-04,19:00,Monaco,0.4,1–0,1.0,Angers,3585.0,Stade Louis II.,Jeremy Stinat,Ligue-1,13,2019-2020
23.0,Tue,2020-02-04,19:00,Lille,0.7,1–0,0.3,Rennes,35030.0,Stade Pierre-Mauroy,Johan Hamel,Ligue-1,13,2019-2020
23.0,Tue,2020-02-04,21:05,Nantes,2.6,1–2,3.3,Paris S-G,34307.0,Stade de la Beaujoire - Louis Fonteneau,Franck Schneider,Ligue-1,13,2019-2020
23.0,Wed,2020-02-05,19:00,Reims,1.2,1–1,0.9,Nice,11384.0,Stade Auguste-Delaune II,Eric Wattellier,Ligue-1,13,2019-2020
23.0,Wed,2020-02-05,19:00,Montpellier,0.4,1–1,1.6,Metz,10786.0,Stade de la Mosson,Hakim Ben El Hadj Salem,Ligue-1,13,2019-2020
23.0,Wed,2020-02-05,19:00,Lyon,0.3,0–0,0.3,Amiens,36670.0,Groupama Stadium,Jérôme Miguelgorry,Ligue-1,13,2019-2020
23.0,Wed,2020-02-05,19:00,Toulouse,0.8,0–1,1.2,Strasbourg,16596.0,Stadium Municipal,Karim Abed,Ligue-1,13,2019-2020
23.0,Wed,2020-02-05,19:00,Nîmes,1.9,2–0,0.6,Dijon,11705.0,Stade des Costières,Florent Batta,Ligue-1,13,2019-2020
23.0,Wed,2020-02-05,19:00,Brest,1.8,1–1,1.1,Bordeaux,13034.0,Stade Francis-Le Blé,Willy Delajod,Ligue-1,13,2019-2020
23.0,Wed,2020-02-05,21:00,Saint-Étienne,0.4,0–2,0.3,Marseille,29074.0,Stade Geoffroy-Guichard,Jérôme Brisard,Ligue-1,13,2019-2020
24.0,Fri,2020-02-07,20:45,Angers,0.5,0–2,1.7,Lille,9145.0,Stade Raymond Kopa,Benoît Bastien,Ligue-1,13,2019-2020
24.0,Sat,2020-02-08,17:30,Marseille,0.9,1–0,1.4,Toulouse,53995.0,Orange Vélodrome,Stéphanie Frappart,Ligue-1,13,2019-2020
24.0,Sat,2020-02-08,20:00,Nice,1.0,1–3,1.2,Nîmes,15603.0,Stade de Nice,Antony Gautier,Ligue-1,13,2019-2020
24.0,Sat,2020-02-08,20:00,Metz,0.7,1–2,1.9,Bordeaux,15054.0,Stade Saint-Symphorien,François Letexier,Ligue-1,13,2019-2020
24.0,Sat,2020-02-08,20:00,Rennes,0.8,0–0,0.7,Brest,28436.0,Roazhon Park,Ruddy Buquet,Ligue-1,13,2019-2020
24.0,Sat,2020-02-08,20:00,Amiens,0.4,1–2,1.5,Monaco,11683.0,Stade de la Licorne,Olivier Thual,Ligue-1,13,2019-2020
24.0,Sat,2020-02-08,20:00,Dijon,1.4,3–3,0.6,Nantes,11780.0,Stade Gaston Gérard,Jérémie Pignard,Ligue-1,13,2019-2020
24.0,Sun,2020-02-09,15:00,Montpellier,0.6,1–0,1.2,Saint-Étienne,14669.0,Stade de la Mosson,Amaury Delerue,Ligue-1,13,2019-2020
24.0,Sun,2020-02-09,17:00,Strasbourg,3.0,3–0,0.3,Reims,25241.0,Stade de la Meinau,Thomas Léonard,Ligue-1,13,2019-2020
