Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
15.0,Fri,2019-12-06,20:45,Inter,1.5,0–0,0.3,Roma,67008.0,Stadio Giuseppe Meazza,Giampaolo Calvarese,Serie-A,11,2019-2020
15.0,Sat,2019-12-07,15:00,Atalanta,2.4,3–2,1.1,Hellas Verona,19335.0,Stadio Atleti Azzurri d'Italia,Paolo Valeri,Serie-A,11,2019-2020
15.0,Sat,2019-12-07,18:00,Udinese,0.6,1–1,1.2,Napoli,20405.0,Dacia Arena,Maurizio Mariani,Serie-A,11,2019-2020
15.0,Sat,2019-12-07,20:45,Lazio,2.4,3–1,1.8,Juventus,65000.0,Stadio Olimpico,Michael Fabbri,Serie-A,11,2019-2020
15.0,Sun,2019-12-08,12:30,Lecce,1.0,2–2,2.0,Genoa,21740.0,Stadio Comunale Via Del Mare,Gianluca Rocchi,Serie-A,11,2019-2020
15.0,Sun,2019-12-08,15:00,Sassuolo,1.9,2–2,0.5,Cagliari,12666.0,Stadio Citt del Tricolore,Luca Pairetto,Serie-A,11,2019-2020
15.0,Sun,2019-12-08,15:00,Torino,0.7,2–1,1.7,Fiorentina,19955.0,Stadio Olimpico di Torino,Piero Giacomelli,Serie-A,11,2019-2020
15.0,Sun,2019-12-08,15:00,SPAL,1.9,0–1,1.5,Brescia,12442.0,Stadio Paolo Mazza,Daniele Orsato,Serie-A,11,2019-2020
15.0,Sun,2019-12-08,18:00,Sampdoria,1.8,0–1,0.7,Parma,19516.0,Stadio Comunale Luigi Ferraris,Rosario Abisso,Serie-A,11,2019-2020
15.0,Sun,2019-12-08,20:45,Bologna,1.5,2–3,2.1,Milan,23707.0,Stadio Renato Dall'Ara,Daniele Chiffi,Serie-A,11,2019-2020
16.0,Sat,2019-12-14,15:00,Brescia,3.6,3–0,0.7,Lecce,13131.0,Stadio Mario Rigamonti,Massimiliano Irrati,Serie-A,11,2019-2020
16.0,Sat,2019-12-14,18:30,Napoli,2.7,1–2,1.5,Parma,25000.0,Stadio San Paolo,Marco Di Bello,Serie-A,11,2019-2020
16.0,Sat,2019-12-14,20:45,Genoa,0.5,0–1,0.6,Sampdoria,30658.0,Stadio Comunale Luigi Ferraris,Daniele Doveri,Serie-A,11,2019-2020
16.0,Sun,2019-12-15,12:30,Hellas Verona,2.0,3–3,1.3,Torino,14612.0,Stadio Marc'Antonio Bentegodi,Federico La Penna,Serie-A,11,2019-2020
16.0,Sun,2019-12-15,15:00,Juventus,1.8,3–1,1.2,Udinese,39127.0,Allianz Stadium,Fabrizio Pasqua,Serie-A,11,2019-2020
16.0,Sun,2019-12-15,15:00,Bologna,1.2,2–1,1.9,Atalanta,21277.0,Stadio Renato Dall'Ara,Davide Massa,Serie-A,11,2019-2020
16.0,Sun,2019-12-15,15:00,Milan,2.1,0–0,0.9,Sassuolo,58005.0,Stadio Giuseppe Meazza,Gianluca Manganiello,Serie-A,11,2019-2020
16.0,Sun,2019-12-15,18:00,Roma,3.1,3–1,1.1,SPAL,34761.0,Stadio Olimpico,Antonio Giua,Serie-A,11,2019-2020
16.0,Sun,2019-12-15,20:45,Fiorentina,0.7,1–1,0.6,Inter,37537.0,Stadio Artemio Franchi,Maurizio Mariani,Serie-A,11,2019-2020
16.0,Mon,2019-12-16,20:45,Cagliari,1.5,1–2,1.3,Lazio,16299.0,Sardegna Arena,Fabio Maresca,Serie-A,11,2019-2020
17.0,Wed,2019-12-18,18:55,Sampdoria,0.7,1–2,0.9,Juventus,23136.0,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Serie-A,11,2019-2020
7.0,Wed,2019-12-18,20:45,Brescia,1.8,0–2,0.4,Sassuolo,14574.0,Stadio Mario Rigamonti,Marco Di Bello,Serie-A,11,2019-2020
17.0,Fri,2019-12-20,20:45,Fiorentina,1.7,1–4,1.3,Roma,3305.0,Stadio Artemio Franchi,Daniele Orsato,Serie-A,11,2019-2020
17.0,Sat,2019-12-21,15:00,Udinese,1.4,2–1,0.9,Cagliari,19822.0,Dacia Arena,Marco Piccinini,Serie-A,11,2019-2020
17.0,Sat,2019-12-21,18:00,Inter,2.4,4–0,0.6,Genoa,57490.0,Stadio Giuseppe Meazza,Luca Pairetto,Serie-A,11,2019-2020
17.0,Sat,2019-12-21,20:45,Torino,1.0,1–2,1.1,SPAL,18553.0,Stadio Olimpico di Torino,Michael Fabbri,Serie-A,11,2019-2020
17.0,Sun,2019-12-22,12:30,Atalanta,2.8,5–0,0.3,Milan,20940.0,Stadio Atleti Azzurri d'Italia,Federico La Penna,Serie-A,11,2019-2020
17.0,Sun,2019-12-22,15:00,Lecce,1.0,2–3,3.4,Bologna,24178.0,Stadio Comunale Via Del Mare,Rosario Abisso,Serie-A,11,2019-2020
17.0,Sun,2019-12-22,15:00,Parma,1.4,1–1,2.3,Brescia,16686.0,Stadio Ennio Tardini,Francesco Fourneau,Serie-A,11,2019-2020
17.0,Sun,2019-12-22,20:45,Sassuolo,1.3,1–2,1.4,Napoli,12570.0,Stadio Citt del Tricolore,Daniele Chiffi,Serie-A,11,2019-2020
18.0,Sun,2020-01-05,12:30,Brescia,0.4,1–2,1.9,Lazio,14370.0,Stadio Mario Rigamonti,Gianluca Manganiello,Serie-A,11,2019-2020
18.0,Sun,2020-01-05,15:00,SPAL,1.4,0–2,2.1,Hellas Verona,14078.0,Stadio Paolo Mazza,Marco Guida,Serie-A,11,2019-2020
18.0,Sun,2020-01-05,18:00,Genoa,3.2,2–1,0.7,Sassuolo,21033.0,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Serie-A,11,2019-2020
18.0,Sun,2020-01-05,20:45,Roma,2.1,0–2,1.9,Torino,38954.0,Stadio Olimpico,Marco Di Bello,Serie-A,11,2019-2020
18.0,Mon,2020-01-06,12:30,Bologna,0.9,1–1,0.6,Fiorentina,22653.0,Stadio Renato Dall'Ara,Paolo Valeri,Serie-A,11,2019-2020
18.0,Mon,2020-01-06,15:00,Juventus,2.7,4–0,0.8,Cagliari,40598.0,Allianz Stadium,Piero Giacomelli,Serie-A,11,2019-2020
18.0,Mon,2020-01-06,15:00,Milan,1.3,0–0,1.2,Sampdoria,58572.0,Stadio Giuseppe Meazza,Davide Massa,Serie-A,11,2019-2020
18.0,Mon,2020-01-06,15:00,Atalanta,1.8,5–0,0.1,Parma,19213.0,Stadio Atleti Azzurri d'Italia,Fabrizio Pasqua,Serie-A,11,2019-2020
18.0,Mon,2020-01-06,18:00,Lecce,0.6,0–1,0.6,Udinese,21321.0,Stadio Comunale Via Del Mare,Antonio Giua,Serie-A,11,2019-2020
18.0,Mon,2020-01-06,20:45,Napoli,1.9,1–3,1.3,Inter,31191.0,Stadio San Paolo,Daniele Doveri,Serie-A,11,2019-2020
