Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
18.0,Wed,2021-01-06,21:00,Marseille,2.6,3–1,1.1,Montpellier,,Orange Vlodrome,Stphanie Frappart,Ligue-1,13,2020-2021
19.0,Sat,2021-01-09,21:00,Rennes,1.4,2–2,1.1,Lyon,,Roazhon Park,Mikael Lesage,Ligue-1,13,2020-2021
19.0,Sat,2021-01-09,21:00,Monaco,2.5,3–0,0.5,Angers,,Stade Louis II.,Benot Bastien,Ligue-1,13,2020-2021
19.0,Sat,2021-01-09,21:00,Reims,1.4,3–1,1.2,Saint-tienne,,Stade Auguste-Delaune II,Florent Batta,Ligue-1,13,2020-2021
19.0,Sat,2021-01-09,21:00,Metz,1.3,1–1,1.5,Nice,,Stade Saint-Symphorien,Johan Hamel,Ligue-1,13,2020-2021
19.0,Sat,2021-01-09,21:00,Bordeaux,1.4,2–1,1.3,Lorient,,Stade Matmut-Atlantique,Willy Delajod,Ligue-1,13,2020-2021
19.0,Sat,2021-01-09,21:00,Dijon,0.5,0–0,1.5,Marseille,,Stade Gaston Grard,Jrme Miguelgorry,Ligue-1,13,2020-2021
19.0,Sat,2021-01-09,21:00,Montpellier,1.2,1–1,1.0,Nantes,,Stade de la Mosson,Franois Letexier,Ligue-1,13,2020-2021
19.0,Sat,2021-01-09,21:00,Lens,0.6,0–1,1.3,Strasbourg,,Stade Bollaert-Delelis,Clment Turpin,Ligue-1,13,2020-2021
19.0,Sat,2021-01-09,21:00,Nmes,0.3,0–1,1.0,Lille,,Stade des Costires,Jrme Brisard,Ligue-1,13,2020-2021
19.0,Sat,2021-01-09,21:00,Paris S-G,2.9,3–0,0.8,Brest,,Parc des Princes,Hakim Ben El Hadj Salem,Ligue-1,13,2020-2021
20.0,Fri,2021-01-15,21:00,Montpellier,0.6,2–3,2.7,Monaco,,Stade de la Mosson,Aurlien Petit,Ligue-1,13,2020-2021
20.0,Sat,2021-01-16,17:00,Marseille,2.2,1–2,1.5,Nmes,,Orange Vlodrome,Jeremy Stinat,Ligue-1,13,2020-2021
20.0,Sat,2021-01-16,21:00,Angers,0.9,0–1,1.5,Paris S-G,,Stade Raymond Kopa,Amaury Delerue,Ligue-1,13,2020-2021
20.0,Sun,2021-01-17,13:00,Brest,1.6,1–2,1.7,Rennes,,Stade Francis-Le Bl,Ruddy Buquet,Ligue-1,13,2020-2021
20.0,Sun,2021-01-17,15:00,Nice,0.7,0–3,1.9,Bordeaux,,Stade de Nice,Thomas Lonard,Ligue-1,13,2020-2021
20.0,Sun,2021-01-17,15:00,Nantes,1.0,1–1,1.7,Lens,,Stade de la Beaujoire - Louis Fonteneau,Franck Schneider,Ligue-1,13,2020-2021
20.0,Sun,2021-01-17,15:00,Strasbourg,2.3,1–0,1.3,Saint-tienne,,Stade de la Meinau,Antony Gautier,Ligue-1,13,2020-2021
20.0,Sun,2021-01-17,17:00,Lille,1.7,2–1,0.5,Reims,,Stade Pierre-Mauroy,Benot Millot,Ligue-1,13,2020-2021
20.0,Sun,2021-01-17,21:00,Lyon,1.4,0–1,1.9,Metz,,Groupama Stadium,Stphanie Frappart,Ligue-1,13,2020-2021
9.0,Wed,2021-01-20,21:00,Marseille,0.1,0–1,1.7,Lens,,Orange Vlodrome,Jrmie Pignard,Ligue-1,13,2020-2021
21.0,Fri,2021-01-22,21:00,Paris S-G,5.4,4–0,0.6,Montpellier,,Parc des Princes,Willy Delajod,Ligue-1,13,2020-2021
21.0,Sat,2021-01-23,17:00,Lens,1.0,0–1,0.6,Nice,,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Ligue-1,13,2020-2021
21.0,Sat,2021-01-23,21:00,Monaco,1.3,3–1,0.5,Marseille,,Stade Louis II.,Franois Letexier,Ligue-1,13,2020-2021
21.0,Sun,2021-01-24,13:00,Bordeaux,0.8,2–1,1.7,Angers,,Stade Matmut-Atlantique,Florent Batta,Ligue-1,13,2020-2021
21.0,Sun,2021-01-24,15:00,Dijon,0.6,1–1,2.9,Strasbourg,,Stade Gaston Grard,Jrme Brisard,Ligue-1,13,2020-2021
21.0,Sun,2021-01-24,15:00,Metz,0.8,2–0,0.2,Nantes,,Stade Saint-Symphorien,Jrme Miguelgorry,Ligue-1,13,2020-2021
21.0,Sun,2021-01-24,15:00,Reims,1.0,1–0,0.8,Brest,,Stade Auguste-Delaune II,Johan Hamel,Ligue-1,13,2020-2021
