Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
4.0,Sat,2018-09-01,20:00,Dijon,1.3,0–2,1.5,Caen,13382.0,Stade Gaston GÃ©rard,Nicolas Rainville,Match Report,,Ligue-1,13,2018-2019
4.0,Sat,2018-09-01,20:00,Angers,1.1,1–0,1.5,Lille,9245.0,Stade Raymond Kopa,Eric Wattellier,Match Report,,Ligue-1,13,2018-2019
4.0,Sun,2018-09-02,15:00,Saint-Étienne,0.7,0–0,0.3,Amiens,30146.0,Stade Geoffroy-Guichard,Thomas LÃ©onard,Match Report,,Ligue-1,13,2018-2019
4.0,Sun,2018-09-02,17:00,Rennes,1.9,2–0,0.6,Bordeaux,23817.0,Roazhon Park,BenoÃ®t Bastien,Match Report,,Ligue-1,13,2018-2019
4.0,Sun,2018-09-02,21:00,Monaco,1.4,2–3,1.3,Marseille,14269.0,Stade Louis II.,BenoÃ®t Millot,Match Report,,Ligue-1,13,2018-2019
5.0,Fri,2018-09-14,19:00,Nice,1.1,2–1,1.1,Rennes,16887.0,Stade de Nice,JÃ©rÃ´me Miguelgorry,Match Report,,Ligue-1,13,2018-2019
5.0,Fri,2018-09-14,20:45,Paris S-G,2.3,4–0,0.7,Saint-Étienne,46549.0,Parc des Princes,Franck Schneider,Match Report,,Ligue-1,13,2018-2019
5.0,Sat,2018-09-15,17:00,Caen,1.7,2–2,1.2,Lyon,17676.0,Stade Michel d'Ornano,Johan Hamel,Match Report,,Ligue-1,13,2018-2019
5.0,Sat,2018-09-15,20:00,Dijon,1.5,1–3,2.0,Angers,12275.0,Stade Gaston GÃ©rard,Hakim Ben El Hadj Salem,Match Report,,Ligue-1,13,2018-2019
5.0,Sat,2018-09-15,20:00,Toulouse,1.1,1–1,0.6,Monaco,16689.0,Stadium Municipal,Ruddy Buquet,Match Report,,Ligue-1,13,2018-2019
5.0,Sat,2018-09-15,20:00,Amiens,1.5,2–3,2.8,Lille,11569.0,Stade de la Licorne,Nicolas Rainville,Match Report,,Ligue-1,13,2018-2019
5.0,Sat,2018-09-15,20:00,Montpellier,0.4,1–1,0.5,Strasbourg,10630.0,Stade de la Mosson,Willy Delajod,Match Report,,Ligue-1,13,2018-2019
5.0,Sun,2018-09-16,15:00,Nantes,0.8,0–0,0.7,Reims,18981.0,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier,Match Report,,Ligue-1,13,2018-2019
5.0,Sun,2018-09-16,17:00,Bordeaux,1.3,3–3,1.6,Nîmes,15895.0,Stade Matmut-Atlantique,Antony Gautier,Match Report,,Ligue-1,13,2018-2019
5.0,Sun,2018-09-16,21:00,Marseille,2.0,4–0,0.1,Guingamp,50450.0,Orange VÃ©lodrome,Amaury Delerue,Match Report,,Ligue-1,13,2018-2019
6.0,Fri,2018-09-21,20:45,Monaco,1.8,1–1,0.7,Nîmes,6837.0,Stade Louis II.,Amaury Delerue,Match Report,,Ligue-1,13,2018-2019
6.0,Sat,2018-09-22,17:00,Lille,0.6,2–1,1.5,Nantes,27353.0,Stade Pierre-Mauroy,BenoÃ®t Bastien,Match Report,,Ligue-1,13,2018-2019
6.0,Sat,2018-09-22,20:00,Angers,0.8,0–0,0.4,Toulouse,10021.0,Stade Raymond Kopa,Florent Batta,Match Report,,Ligue-1,13,2018-2019
6.0,Sat,2018-09-22,20:00,Strasbourg,1.3,3–1,0.7,Amiens,24683.0,Stade de la Meinau,Jeremy Stinat,Match Report,,Ligue-1,13,2018-2019
6.0,Sat,2018-09-22,20:00,Saint-Étienne,3.2,2–1,0.6,Caen,23895.0,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,,Ligue-1,13,2018-2019
6.0,Sat,2018-09-22,20:00,Reims,1.0,0–0,0.2,Dijon,11523.0,Stade Auguste-Delaune II,JÃ©rÃ´me Brisard,Match Report,,Ligue-1,13,2018-2019
6.0,Sat,2018-09-22,20:00,Montpellier,1.8,1–0,0.6,Nice,11015.0,Stade de la Mosson,Thomas LÃ©onard,Match Report,,Ligue-1,13,2018-2019
6.0,Sun,2018-09-23,15:00,Rennes,0.8,1–3,1.5,Paris S-G,29205.0,Roazhon Park,Hakim Ben El Hadj Salem,Match Report,,Ligue-1,13,2018-2019
6.0,Sun,2018-09-23,17:00,Guingamp,1.8,1–3,1.1,Bordeaux,14772.0,Stade du Roudourou,Franck Schneider,Match Report,,Ligue-1,13,2018-2019
6.0,Sun,2018-09-23,21:00,Lyon,2.6,4–2,0.6,Marseille,57287.0,Groupama Stadium,ClÃ©ment Turpin,Match Report,,Ligue-1,13,2018-2019
7.0,Tue,2018-09-25,19:00,Nantes,1.2,1–2,1.1,Nice,16604.0,Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,Match Report,,Ligue-1,13,2018-2019
7.0,Tue,2018-09-25,19:00,Monaco,0.7,0–1,0.4,Angers,5502.0,Stade Louis II.,Willy Delajod,Match Report,,Ligue-1,13,2018-2019
7.0,Tue,2018-09-25,21:00,Toulouse,1.2,2–3,1.8,Saint-Étienne,14008.0,Stadium Municipal,Amaury Delerue,Match Report,,Ligue-1,13,2018-2019
7.0,Wed,2018-09-26,19:00,Amiens,0.9,2–1,1.5,Rennes,10398.0,Stade de la Licorne,Johan Hamel,Match Report,,Ligue-1,13,2018-2019
7.0,Wed,2018-09-26,19:00,Caen,0.8,2–2,1.7,Montpellier,14402.0,Stade Michel d'Ornano,Antony Gautier,Match Report,,Ligue-1,13,2018-2019
7.0,Wed,2018-09-26,19:00,Marseille,1.4,3–2,0.7,Strasbourg,47099.0,Orange VÃ©lodrome,FranÃ§ois Letexier,Match Report,,Ligue-1,13,2018-2019
7.0,Wed,2018-09-26,19:00,Nîmes,1.0,0–0,0.6,Guingamp,13415.0,Stade des CostiÃ¨res,BenoÃ®t Millot,Match Report,,Ligue-1,13,2018-2019
7.0,Wed,2018-09-26,19:00,Dijon,1.4,0–3,2.8,Lyon,14651.0,Stade Gaston GÃ©rard,JÃ©rÃ´me Miguelgorry,Match Report,,Ligue-1,13,2018-2019
7.0,Wed,2018-09-26,19:00,Bordeaux,1.1,1–0,1.6,Lille,17395.0,Stade Matmut-Atlantique,Karim Abed,Match Report,,Ligue-1,13,2018-2019
7.0,Wed,2018-09-26,21:00,Paris S-G,3.2,4–1,0.4,Reims,47237.0,Parc des Princes,Olivier Thual,Match Report,,Ligue-1,13,2018-2019
8.0,Fri,2018-09-28,20:45,Saint-Étienne,1.5,2–0,2.6,Monaco,26486.0,Stade Geoffroy-Guichard,JÃ©rÃ´me Brisard,Match Report,,Ligue-1,13,2018-2019
8.0,Sat,2018-09-29,17:15,Nice,0.3,0–3,2.5,Paris S-G,33138.0,Stade de Nice,ClÃ©ment Turpin,Match Report,,Ligue-1,13,2018-2019
8.0,Sat,2018-09-29,20:00,Lyon,2.8,1–1,1.2,Nantes,50319.0,Groupama Stadium,Franck Schneider,Match Report,,Ligue-1,13,2018-2019
8.0,Sat,2018-09-29,20:00,Strasbourg,1.0,3–0,1.3,Dijon,25060.0,Stade de la Meinau,Eric Wattellier,Match Report,,Ligue-1,13,2018-2019
8.0,Sat,2018-09-29,20:00,Caen,1.3,1–0,0.4,Amiens,15007.0,Stade Michel d'Ornano,BenoÃ®t Bastien,Match Report,,Ligue-1,13,2018-2019
8.0,Sat,2018-09-29,20:00,Reims,0.5,0–0,0.2,Bordeaux,13406.0,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,,Ligue-1,13,2018-2019
8.0,Sat,2018-09-29,20:00,Angers,0.7,0–1,1.3,Guingamp,9483.0,Stade Raymond Kopa,Nicolas Rainville,Match Report,,Ligue-1,13,2018-2019
8.0,Sun,2018-09-30,15:00,Rennes,2.4,1–1,0.5,Toulouse,21173.0,Roazhon Park,Thomas LÃ©onard,Match Report,,Ligue-1,13,2018-2019
8.0,Sun,2018-09-30,17:00,Montpellier,2.7,3–0,0.9,Nîmes,20054.0,Stade de la Mosson,Ruddy Buquet,Match Report,,Ligue-1,13,2018-2019
8.0,Sun,2018-09-30,21:00,Lille,2.9,3–0,0.6,Marseille,41623.0,Stade Pierre-Mauroy,Mikael Lesage,Match Report,,Ligue-1,13,2018-2019
9.0,Fri,2018-10-05,20:45,Toulouse,1.2,1–1,1.2,Nice,14162.0,Stadium Municipal,Willy Delajod,Match Report,,Ligue-1,13,2018-2019
9.0,Sat,2018-10-06,17:00,Lille,0.6,3–1,1.7,Saint-Étienne,31263.0,Stade Pierre-Mauroy,JÃ©rÃ´me Miguelgorry,Match Report,,Ligue-1,13,2018-2019
9.0,Sat,2018-10-06,20:00,Amiens,0.4,1–0,0.5,Dijon,10194.0,Stade de la Licorne,Florent Batta,Match Report,,Ligue-1,13,2018-2019
9.0,Sat,2018-10-06,20:00,Guingamp,0.9,1–1,1.0,Montpellier,13643.0,Stade du Roudourou,Jeremy Stinat,Match Report,,Ligue-1,13,2018-2019
9.0,Sat,2018-10-06,20:00,Nîmes,1.2,0–0,1.4,Reims,12958.0,Stade des CostiÃ¨res,Karim Abed,Match Report,,Ligue-1,13,2018-2019
9.0,Sat,2018-10-06,20:00,Angers,2.3,2–2,1.2,Strasbourg,8930.0,Stade Raymond Kopa,Johan Hamel,Match Report,,Ligue-1,13,2018-2019
